time,activation,force,erg_signal
11.512000,1.000000,-131.940024,0.014284
11.514000,1.000000,-131.940021,0.014961
11.516000,1.000000,-131.940029,0.017324
11.518000,1.000000,-131.940050,0.016110
11.520000,1.000000,-131.940082,0.016819
11.522000,1.000000,-131.940126,0.015837
11.524000,1.000000,-131.940180,0.014930
11.526000,1.000000,-131.940242,0.017543
11.528000,1.000000,-131.940309,0.016077
11.530000,1.000000,-131.940381,0.015057
11.532000,1.000000,-131.940453,0.014004
11.534000,1.000000,-131.940523,0.012794
11.536000,1.000000,-131.940589,0.012681
11.538000,1.000000,-131.940650,0.013234
11.540000,1.000000,-131.940702,0.012951
11.542000,1.000000,-131.940745,0.014238
11.544000,1.000000,-131.940777,0.015502
11.546000,1.000000,-131.940798,0.014355
11.548000,1.000000,-131.940808,0.013250
11.550000,1.000000,-131.940807,0.016055
11.552000,1.000000,-131.940795,0.020004
11.554000,1.000000,-131.940773,0.020769
11.556000,1.000000,-131.940741,0.019083
11.558000,1.000000,-131.940702,0.020200
11.560000,1.000000,-131.940655,0.020392
11.562000,1.000000,-131.940603,0.019206
11.564000,1.000000,-131.940547,0.018635
11.566000,1.000000,-131.940487,0.019630
11.568000,1.000000,-131.940425,0.018989
11.570000,1.000000,-131.940362,0.018902
11.572000,1.000000,-131.940299,0.017513
11.574000,1.000000,-131.940236,0.016981
11.576000,1.000000,-131.940173,0.016407
11.578000,1.000000,-131.940112,0.019470
11.580000,1.000000,-131.940052,0.017971
11.582000,1.000000,-131.939993,0.017959
11.584000,1.000000,-131.939935,0.017919
11.586000,1.000000,-131.939878,0.018197
11.588000,1.000000,-131.939822,0.017715
11.590000,1.000000,-131.939766,0.017496
11.592000,1.000000,-131.939710,0.017129
11.594000,1.000000,-131.939654,0.016004
11.596000,1.000000,-131.939597,0.015514
11.598000,1.000000,-131.939539,0.014533
11.600000,1.000000,-131.939480,0.015731
11.602000,1.000000,-131.939420,0.015006
11.604000,1.000000,-131.939358,0.013566
11.606000,1.000000,-131.939294,0.013712
11.608000,1.000000,-131.939229,0.014494
11.610000,1.000000,-131.939162,0.013561
11.612000,1.000000,-131.939094,0.013209
11.614000,1.000000,-131.939024,0.014238
11.616000,1.000000,-131.938954,0.015679
11.618000,1.000000,-131.938883,0.014998
11.620000,1.000000,-131.938811,0.013509
11.622000,1.000000,-131.938739,0.014608
11.624000,1.000000,-131.938666,0.013294
11.626000,1.000000,-131.938594,0.015014
11.628000,1.000000,-131.938522,0.013891
11.630000,1.000000,-131.938451,0.014300
11.632000,1.000000,-131.938381,0.014306
11.634000,1.000000,-131.938311,0.014426
11.636000,1.000000,-131.938243,0.014898
11.638000,1.000000,-131.938176,0.014855
11.640000,1.000000,-131.938110,0.013557
11.642000,1.000000,-131.938045,0.012401
11.644000,1.000000,-131.937981,0.013101
11.646000,1.000000,-131.937919,0.012779
11.648000,1.000000,-131.937858,0.016356
11.650000,1.000000,-131.937798,0.015162
11.652000,1.000000,-131.937739,0.013968
11.654000,1.000000,-131.937681,0.014821
11.656000,1.000000,-131.937624,0.016750
11.658000,1.000000,-131.937568,0.018052
11.660000,1.000000,-131.937513,0.016592
11.662000,1.000000,-131.937459,0.019656
11.664000,1.000000,-131.937406,0.018589
11.666000,1.000000,-131.937353,0.016927
11.668000,1.000000,-131.937302,0.018414
11.670000,1.000000,-131.937251,0.016631
11.672000,1.000000,-131.937201,0.017829
11.674000,1.000000,-131.937152,0.016829
11.676000,1.000000,-131.937104,0.016092
11.678000,1.000000,-131.937057,0.016703
11.680000,1.000000,-131.937011,0.015876
11.682000,1.000000,-131.936966,0.015896
11.684000,1.000000,-131.936923,0.017106
11.686000,1.000000,-131.936880,0.017341
11.688000,1.000000,-131.936838,0.016581
11.690000,1.000000,-131.936798,0.015066
11.692000,1.000000,-131.936758,0.016330
11.694000,1.000000,-131.936720,0.015956
11.696000,1.000000,-131.936683,0.015522
11.698000,1.000000,-131.936648,0.015352
11.700000,1.000000,-131.936613,0.015495
11.702000,1.000000,-131.936580,0.016367
11.704000,1.000000,-131.936548,0.016606
11.706000,1.000000,-131.936517,0.015227
11.708000,1.000000,-131.936487,0.015716
11.710000,1.000000,-131.936459,0.016798
11.712000,1.000000,-131.936431,0.016850
11.714000,1.000000,-131.936405,0.015319
11.716000,1.000000,-131.936380,0.015286
11.718000,1.000000,-131.936356,0.015138
11.720000,1.000000,-131.936333,0.013761
11.722000,1.000000,-131.936310,0.014962
11.724000,1.000000,-131.936289,0.016094
11.726000,1.000000,-131.936269,0.017219
11.728000,1.000000,-131.936250,0.016107
11.730000,1.000000,-131.936231,0.016632
11.732000,1.000000,-131.936214,0.018862
11.734000,1.000000,-131.936197,0.018973
11.736000,1.000000,-131.936182,0.020969
11.738000,1.000000,-131.936167,0.021985
11.740000,1.000000,-131.936153,0.021469
11.742000,1.000000,-131.936140,0.020661
11.744000,1.000000,-131.936128,0.019674
11.746000,1.000000,-131.936117,0.020895
11.748000,1.000000,-131.936106,0.019254
11.750000,1.000000,-131.936096,0.017769
11.752000,1.000000,-131.936087,0.017310
11.754000,1.000000,-131.936079,0.015737
11.756000,1.000000,-131.936072,0.014450
11.758000,1.000000,-131.936065,0.014472
11.760000,1.000000,-131.936059,0.016032
11.762000,1.000000,-131.936054,0.015475
11.764000,1.000000,-131.936050,0.014587
11.766000,1.000000,-131.936046,0.015108
11.768000,1.000000,-131.936043,0.015332
11.770000,1.000000,-131.936040,0.014420
11.772000,1.000000,-131.936038,0.013764
11.774000,1.000000,-131.936037,0.014408
11.776000,1.000000,-131.936037,0.013294
11.778000,1.000000,-131.936036,0.014054
11.780000,1.000000,-131.936037,0.016086
11.782000,1.000000,-131.936038,0.015017
11.784000,1.000000,-131.936039,0.014357
11.786000,1.000000,-131.936041,0.015193
11.788000,1.000000,-131.936044,0.019271
11.790000,1.000000,-131.936047,0.017681
11.792000,1.000000,-131.936050,0.018189
11.794000,1.000000,-131.936054,0.017826
11.796000,1.000000,-131.936058,0.020083
11.798000,1.000000,-131.936062,0.019074
11.800000,1.000000,-131.936067,0.020454
11.802000,1.000000,-131.936073,0.018879
11.804000,1.000000,-131.936078,0.018067
11.806000,1.000000,-131.936084,0.018065
11.808000,1.000000,-131.936091,0.018024
11.810000,1.000000,-131.936097,0.016644
11.812000,1.000000,-131.936104,0.017949
11.814000,1.000000,-131.936111,0.018661
11.816000,1.000000,-131.936119,0.016863
11.818000,1.000000,-131.936127,0.015969
11.820000,1.000000,-131.936135,0.014864
11.822000,1.000000,-131.936143,0.015043
11.824000,1.000000,-131.936151,0.018218
11.826000,1.000000,-131.936160,0.017168
11.828000,1.000000,-131.936169,0.016330
11.830000,1.000000,-131.936178,0.017977
11.832000,1.000000,-131.936187,0.019425
11.834000,1.000000,-131.936196,0.018563
11.836000,1.000000,-131.936206,0.018531
11.838000,1.000000,-131.936215,0.020052
11.840000,1.000000,-131.936225,0.018759
11.842000,1.000000,-131.936235,0.021303
11.844000,1.000000,-131.936245,0.021199
11.846000,1.000000,-131.936255,0.021017
11.848000,1.000000,-131.936265,0.022717
11.850000,1.000000,-131.936275,0.024525
11.852000,1.000000,-131.936286,0.022286
11.854000,1.000000,-131.936296,0.022545
11.856000,1.000000,-131.936306,0.021950
11.858000,1.000000,-131.936317,0.019810
11.860000,1.000000,-131.936327,0.019713
11.862000,1.000000,-131.936338,0.018395
11.864000,1.000000,-131.936348,0.017954
11.866000,1.000000,-131.936359,0.019831
11.868000,1.000000,-131.936369,0.019266
11.870000,1.000000,-131.936380,0.021430
11.872000,1.000000,-131.936390,0.021576
11.874000,1.000000,-131.936401,0.020591
11.876000,1.000000,-131.936411,0.021395
11.878000,1.000000,-131.936421,0.020187
11.880000,1.000000,-131.936432,0.019222
11.882000,1.000000,-131.936442,0.017805
11.884000,1.000000,-131.936452,0.018556
11.886000,1.000000,-131.936463,0.018875
11.888000,1.000000,-131.936473,0.017507
11.890000,1.000000,-131.936483,0.016852
11.892000,1.000000,-131.936493,0.015325
11.894000,1.000000,-131.936503,0.015311
11.896000,1.000000,-131.936513,0.014612
11.898000,1.000000,-131.936522,0.015149
11.900000,1.000000,-131.936532,0.016470
11.902000,1.000000,-131.936542,0.015278
11.904000,1.000000,-131.936551,0.013848
11.906000,1.000000,-131.936561,0.018498
11.908000,1.000000,-131.936570,0.017673
11.910000,1.000000,-131.936579,0.015947
11.912000,1.000000,-131.936588,0.014796
11.914000,1.000000,-131.936597,0.016349
11.916000,1.000000,-131.936606,0.014763
11.918000,1.000000,-131.936615,0.013825
11.920000,1.000000,-131.936624,0.015303
11.922000,1.000000,-131.936632,0.018063
11.924000,1.000000,-131.936641,0.018124
11.926000,1.000000,-131.936649,0.017532
11.928000,1.000000,-131.936657,0.021318
11.930000,1.000000,-131.936666,0.019728
11.932000,1.000000,-131.936674,0.018255
11.934000,1.000000,-131.936681,0.016984
11.936000,1.000000,-131.936689,0.016232
11.938000,1.000000,-131.936697,0.015090
11.940000,1.000000,-131.936704,0.014055
11.942000,1.000000,-131.936712,0.018747
11.944000,1.000000,-131.936719,0.018028
11.946000,1.000000,-131.936726,0.018366
11.948000,1.000000,-131.936733,0.016826
11.950000,1.000000,-131.936740,0.016639
11.952000,1.000000,-131.936746,0.015885
11.954000,1.000000,-131.936753,0.017079
11.956000,1.000000,-131.936759,0.015410
11.958000,1.000000,-131.936766,0.015390
11.960000,1.000000,-131.936772,0.017888
11.962000,1.000000,-131.936778,0.016842
11.964000,1.000000,-131.936784,0.016971
11.966000,1.000000,-131.936790,0.015790
11.968000,1.000000,-131.936795,0.015312
11.970000,1.000000,-131.936801,0.013978
11.972000,1.000000,-131.936806,0.014291
11.974000,1.000000,-131.936812,0.013932
11.976000,1.000000,-131.936817,0.016429
11.978000,1.000000,-131.936822,0.018255
11.980000,1.000000,-131.936827,0.018174
11.982000,1.000000,-131.936832,0.017300
11.984000,1.000000,-131.936836,0.016564
11.986000,1.000000,-131.936841,0.015452
11.988000,1.000000,-131.936845,0.014691
11.990000,1.000000,-131.936850,0.014713
11.992000,1.000000,-131.936854,0.013579
11.994000,1.000000,-131.936858,0.013232
11.996000,1.000000,-131.936862,0.012248
11.998000,1.000000,-131.936866,0.014462
12.000000,1.000000,-131.936869,0.013344
12.002000,1.000000,-131.936873,0.016676
12.004000,1.000000,-131.936877,0.016707
12.006000,1.000000,-131.936880,0.015803
12.008000,1.000000,-131.936883,0.016900
12.010000,1.000000,-131.936887,0.016066
12.012000,1.000000,-131.936890,0.017117
12.014000,1.000000,-131.936893,0.016174
12.016000,1.000000,-131.936896,0.015398
12.018000,1.000000,-131.936898,0.015418
12.020000,1.000000,-131.936901,0.016626
12.022000,1.000000,-131.936904,0.017082
12.024000,1.000000,-131.936906,0.016954
12.026000,1.000000,-131.936909,0.016853
12.028000,1.000000,-131.936911,0.016443
12.030000,1.000000,-131.936913,0.015067
12.032000,1.000000,-131.936915,0.014456
12.034000,1.000000,-131.936917,0.015054
12.036000,1.000000,-131.936919,0.014618
12.038000,1.000000,-131.936921,0.013622
12.040000,1.000000,-131.936923,0.013928
12.042000,1.000000,-131.936925,0.013290
12.044000,1.000000,-131.936927,0.015325
12.046000,1.000000,-131.936928,0.014892
12.048000,1.000000,-131.936930,0.014104
12.050000,1.000000,-131.936931,0.013293
12.052000,1.000000,-131.936932,0.014472
12.054000,1.000000,-131.936934,0.013333
12.056000,1.000000,-131.936935,0.014557
12.058000,1.000000,-131.936936,0.013270
12.060000,1.000000,-131.936937,0.013656
12.062000,1.000000,-131.936938,0.015611
12.064000,1.000000,-131.936939,0.015711
12.066000,1.000000,-131.936940,0.016234
12.068000,1.000000,-131.936941,0.017004
12.070000,1.000000,-131.936942,0.015636
12.072000,1.000000,-131.936942,0.016532
12.074000,1.000000,-131.936943,0.015265
12.076000,1.000000,-131.936944,0.017592
12.078000,1.000000,-131.936944,0.016290
12.080000,1.000000,-131.936945,0.016233
12.082000,1.000000,-131.936945,0.015852
12.084000,1.000000,-131.936945,0.014357
12.086000,1.000000,-131.936946,0.015453
12.088000,1.000000,-131.936946,0.014914
12.090000,1.000000,-131.936946,0.014470
12.092000,1.000000,-131.936947,0.013158
12.094000,1.000000,-131.936947,0.012190
12.096000,1.000000,-131.936947,0.012654
12.098000,1.000000,-131.936947,0.012396
12.100000,1.000000,-131.936947,0.013818
12.102000,1.000000,-131.936947,0.013073
12.104000,1.000000,-131.936947,0.015275
12.106000,1.000000,-131.936947,0.016009
12.108000,1.000000,-131.936947,0.015150
12.110000,1.000000,-131.936947,0.016605
12.112000,1.000000,-131.936947,0.015482
12.114000,1.000000,-131.936946,0.014779
12.116000,1.000000,-131.936946,0.015173
12.118000,1.000000,-131.936946,0.016557
12.120000,1.000000,-131.936946,0.015559
12.122000,1.000000,-131.936945,0.016147
12.124000,1.000000,-131.936945,0.017338
12.126000,1.000000,-131.936945,0.016995
12.128000,1.000000,-131.936944,0.016555
12.130000,1.000000,-131.936944,0.017082
12.132000,1.000000,-131.936944,0.015784
12.134000,1.000000,-131.936943,0.015938
12.136000,1.000000,-131.936943,0.014596
12.138000,1.000000,-131.936942,0.014964
12.140000,1.000000,-131.936942,0.016724
12.142000,1.000000,-131.936941,0.016197
